Title,Year,Plot
Tobias Totz und sein Löwe,(1999),"Tobias Totz is a very special zookeeper. He understands his animals perfectly and they all love him. His best friend is the lion, who dreams day and night of falling in love. As there are ... "
Herkules,(1997),"Once upon a time when monsters and ogres were living all over the world, Zeus decided after the birth of Hercules, to immortalise him and make him be the sovereign of the Greek people. But ... "
Strawberry Shortcake: The Glimmerberry Ball Movie,(2010),"Celebrate the Glimmerberry Ball with Strawberry Shortcake and her friends! As they enjoy the wintertime festivities, the pals also remember that this is a time to think of others."
Marco Haha wo tazunete sanzenri,(1999),"Marco and his family live in Genoa, Italy, a poor town where many local Italians went to work overseas. Marco's mother, Anna, is among one of them. Initially, Anna keeps writing back home ... "
Psychic Wars,(1991),"A strange growth on a mysterious old woman leads the brilliant surgeon Ukyo Retsu into a 5,000-year-old battle for the fate of Japan, as he travels through time to fulfill his destiny by ... "
Feather Friends,(2019),"Fledgling birds, Mooky and Kooky; have just received the best news of their young lives, and it's nothing less than every bird's dream come true - they've been accepted into their town's ... "
The Pied Piper of Hamlin,(1992),"A grandfather relates to his two grandchildren, the story of the township of Hamlin which was plagued with rats. In their moment of desperation, a stranger, a Pied Piper, appears with a ... "
Elfland,(2019),"Dastardly elf, Grumper, has done the unthinkable and STOLEN Santas prized Christmas sleigh. Now its up to E.L.F detective team Jingle, Bingle, Tingle, Dorabelle and Cheer to find the sleigh and save Christmas."
Space Guardians,(2017),When the entire galaxy is threatened by the evil Robot Cat only an elite group of aliens known as the Space Guardians can stop him!
Cyborg 009: Call of Justice II,(2016),"Superhuman organization appears to be responsible for previous events. They manipulate authorities and turn U.N. guardians against cyborgs. Cyborgs become fugitives and can't prevent their leader ""Ivan"" from being captured."
The Animation Show 4,(2008),The Animation Show is back with an all new collection of incredible independent animation! This year Mike Judge has gathered together over two dozen of his favorite funny short films from ... 
Adam 2,(1968),"Jan Lenica's semi-autobiographical movie about a life of a man under the number ""44"". He experiences bureaucracy, abusive step-parents, oppression from the government and society. In the end, he tries to get away to the ""lost paradise""."
Tutenstein: Clash of the Pharaohs,(2008),"In this family comedy, 12-year-old Cleo's knowledge of ancient Egypt is turned on its head when a bolt of lightening awakens the mummified body of Tut-ankh-en-set-amun on display in a local... "
Violin,(2022),Soosan was a famous Iranian composer and singer in 1970s imprisoned in Turkey for illegal border trespassing. We get to know Soosan through her memories which she is writing on prison to ... 
Blue Seed Beyond,(1997),"In this Anime sequel to Blue Seed, in San Francisco, a scientist has found out how to make a new creature without Susanoo's help. But now they are destroying California. The Terrestrial Administration Center now has to help."
Kyaputen tsubasa sekai daisakusen!! Jr. Warudo kappu,(1986),"Tsubasa and his team enter a world cup that that has four teams: Japan, United States of America, 'All Europe' and 'All South America'."
Eiga Hugtto! Precure x Futari wa Precure: All Stars Memories,(2018),"The Pretty Cures were attacked by a monster called Miden and it turns them into infants. Hana Nono, Nagisa Misumi, and Honoka Yukishiro worked together to stop this new villain and turning the other cures back to normal."
Elias og kongeskipet,(2007),"The little rescue boat Elias signs on to the mission to find the royal ship, who has been missing for a time due to his daughter's disappearance. During the mission Elias has to prove his bravery."
Avenger Dogs 2: Wonder Dogs,(2020),"When evil panther Sharposky emerges to threaten the cosmos with a new doomsday device it's up to the Canine Intelligence Agency's best and brightest heroes, the Avenger Dogs, to save the the universe."
Alvin and the Chipmunks: Easter Collection,(2012),Alvin and his brothers Simon and Theodore have a fun filled Easter adventure.
I Am Nightmare,(2014),"In a quiet town that never changes, four kids uncover a secret that unleashes a horror like the town has ever seen."
Salam and the Golden Queen,(1999),"Salam and the Knights of Virtue, Labeeb, and Hudhud embark on a fantastic odyssey into the world of the honeybees. The Knights enter a contest to design a playhouse for orphans but they ... "
The Five Suns: A Sacred History of Mexico,(1996),"""The Five Suns"" tells how Quetzalcoatl and Tezcatlipoca create heaven and earth, journey to the underworld to create humans and find sustenance for them, and finally create the sun and the ... "
Je-bool-chal-ssi I-ya-gi,(2009),"A shy young man who keeps getting smaller and smaller until he is the size of a spider. He becomes an ear-cleaner, delving into people's ears to clear wax and peek at memories. In the ear ... "
Jumper. Treasure Hunting 3D,(2020),"An adventurous grasshopper Skock doesn't care about anyone else; all he wants in his life is to get rich. By chance, he finds a piece of a map that claims to lead to mysterious treasures. ... "
Keul-la-i-ming,(2020),"Professional climber CHOI Se-hyeon, who got recovered from a car accident recently, discovers that she is pregnant just before the Climbing World Championships. As her long-time aspirations... "
Heukryong wanggwa biho dongja,(1982),"A young boy, whose father, Blue Thunder, was murdered by the villainous ""Black Mantis."" After Black Mantis kills his father and steals the family fighting style, Blue Thunder's son takes on the name ""Thunder Prince"" and vows revenge."
Turn A Gundam: Movie II: Moonlight Butterfly,(2002),"Following the events of the first movie, the Militia finishes restoration work on its excavated spaceship and travels to the moon to deal with Gym Ghingnham and Agrippa Maintainer, who ... "
Swami Ayyappan,(2012),"Swami Ayyappan, who was known as Manikandan during his lifetime, is a mythological super-hero. He is wise and well-versed in martial arts. He is soft and kind to the good and a nightmare to... "
Cyrus Adventure,(2017),"Crime is lurking, and only four young heroes can stop it: Cyrus Hour, Michael De-John, Rubin Ring and Nickolas Maya. They will have to save New York City that was threatened by Eduard Cusum... "
Wonder Boy,(2010),A forever young teenager and an immortal warlord quest for The Salamander Cross; the one thing that will allow one to destroy the other for good.
The Impossible Voyage,(2019),"Animated docudrama about incredible adventures of one young astronomer, who set up on the road to achieve freedom for his nation."
João Mata Sete,(2000),"A jewel thief plans the last big heist, but does not count on the double cross to end all double crosses."
Animals United,(1986),"A group of animals waiting for the annual flood they rely on for food and water discover that the humans, who have been destroying their habitats have built a dam for a leisure resort."
Kai xin chao ren,(2013),"Set in a planet of advanced technology. Doctor H., an outstanding mechanician, occasionally activates five little supermen which are scattered across the planet. These supermen take the mission of justice to preserve planet peace."
Z-Baw,(2012),"In a far off galaxy where the gods forged five trophies honoring love, strength, wisdom, leadership and friendship, to bring balance to the universe. Zax and his evil Niurax Corporation ... "
Gekijouban Inazuma irebun Go: Kyuukyoku no kizuna Gurifon,(2011),"The Raimon team has been invited by Fifth Sector strangely to a soccer camp. When they agree, things go out of hand since it was revealed that Fifth Sector wants to eliminate them once and for all in the island called God Eden."
Huckleberry no Bouken,(1984),The adventures of an orphan boy Huckleberry and an escaped slave together on a raft along the Mississippi.
Pumuckl und der blaue Klabauter,(1994),In this sequel to the German cult TV series Pumuckl leaves Meister Eder and Munich. He joins a steamboat on the river Danube where he hopes the blue 'Klabauter' (another sprite of his own kind) will teach him the art of magic.
The Slimbones,(2014),"Oldest son Q.G. and younger brother Slim E, experience life changing comedic pranks while traveling through Shaybone City and its neighboring hoods to get to an event. Parents Russell and Barb Slimbones do not approve."
Abina and the Important Men,(2017),"The story of a young enslaved African woman who escapes her master, flees to the Gold Coast and takes her master to court. Based on actual court transcripts, the films breathes life into ... "
